,left,right,up,down
0,2.1944209826635247e-06,1.530737031768594e-08,1.047013675912564e-06,1.960772953267699e-05
1,6.690439106995334e-07,0.0,0.0,1.753968314196024e-08
2,0.0,0.0,0.0,1.0155182020844323e-32
3,0.0,0.0,0.0,2.3724951650762345e-34
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,1.6860006215341278e-06,2.3849778949340055e-07,5.942164773304076e-07,3.161322526125431e-05
41,1.9498165549080596e-06,9.956473512266526e-35,0.0,3.07524179478365e-07
42,0.0,6.908027445043268e-29,0.0,0.0
43,0.0,1.6690016746714915e-20,0.0,0.0
44,6.642579251052294e-34,0.0,0.0,1.0107702928148281e-10
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,1.0991769262436394e-35
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,7.186795202015649e-06,4.814430085715297e-07,5.174290300525955e-06,4.632404917877967e-05
81,4.450498131048119e-06,2.884698799137838e-08,0.0,0.0
82,0.0,1.2911315081296777e-12,5.770934185320571e-36,1.7788331150794384e-05
83,0.0,0.0,0.0,2.6975351147242263e-05
84,0.0,2.97657068853185e-08,0.0,0.0
85,4.4754841974405525e-27,1.1666028242652223e-32,0.0,1.004885754434215e-06
86,8.795814944856834e-32,0.0,0.0,1.2639872174815943e-10
87,0.0,0.0,0.0,1.0998347301235553e-10
88,0.0,6.249646615261812e-27,0.0,2.148638192199434e-06
89,0.0,0.0,0.0,5.898825673220654e-07
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,1.975392669036672e-06,6.58230452932359e-05,1.2351429072254546e-05,1.6285084575913434e-06
121,2.4808357242183914e-06,9.39226091187551e-05,3.096432599617754e-07,2.912758902473649e-06
122,1.0342446200130692e-05,0.00013935977795291783,1.8504383877185098e-06,6.9497799864427805e-06
123,1.4376062018621324e-05,3.4447594238361303e-06,1.5875786166853456e-06,0.00020897519717085443
124,1.807791036448058e-12,3.1412456571600693e-06,0.0,9.701501109926744e-05
125,0.0,5.236264030204303e-07,2.5474841357174207e-25,8.556095025869065e-05
126,0.0,3.642979967297346e-12,6.944337668987718e-14,0.0001071130393652685
127,3.985485113452236e-06,6.2437605168270774e-27,1.1180335484473162e-13,0.00010280623276700884
128,2.0710777961893178e-25,7.34079644081147e-08,5.627330742548004e-28,0.00020811903095295582
129,0.0,1.1728138335676174e-06,2.7951589535721677e-08,0.000338268868650901
130,0.0,0.0,0.0,4.0418656579967294e-05
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
160,6.265691404418089e-11,4.059653765303538e-07,1.6405059674665135e-05,4.372650944571731e-15
161,1.760194485753026e-06,1.2462074982411424e-05,1.0073462584373447e-17,1.6432397639386551e-12
162,2.8155948629773275e-07,8.635216440882484e-05,8.95989376129157e-06,1.589590617964577e-07
163,8.27710532720093e-06,0.00031000692748773525,2.449742836396238e-05,9.109144133167619e-06
164,4.403376241053271e-05,0.00043063398409069677,1.603380764797688e-05,7.567701681155536e-06
165,3.239670046681733e-05,0.0005887525222405026,7.782665339243999e-06,1.775418051319601e-05
166,9.382553514860519e-05,0.0007571093447083249,9.32807964469712e-06,1.618831093968891e-05
167,0.00033806477931888125,0.0009560454697791017,4.817518212674227e-06,3.6658014878214836e-06
168,0.0001634195546475483,0.0012006927570360902,2.1669600454001406e-05,0.00012628804517718313
169,0.0002340195860972613,0.0001547914388194416,6.320048298806837e-05,0.0015250048770280968
170,0.0005968122648062219,0.0,0.0,2.696259806003415e-05
171,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,4.858501049524145e-14,0.0,0.0
201,0.0,1.6209807977336008e-10,7.517088858881688e-09,0.0
202,0.0,1.9147814365065053e-07,5.548083660243905e-06,0.0
203,6.548758062018537e-08,0.0,7.448919962238867e-05,0.0
204,0.0,0.0,8.576265455249806e-05,0.0
205,2.4546046396904345e-11,4.314293046433206e-06,0.00012467791510148692,0.0
206,1.609006671638351e-06,0.0,0.00017819312456192018,2.6727975381271833e-17
207,7.559286490765691e-06,2.6289771522903692e-05,0.0,0.0
208,4.1015445345696735e-07,0.0008039964930617177,8.436134464875103e-05,5.353923748221024e-07
209,0.0001849833907417134,8.838872802283616e-05,0.00040280101448733803,0.001971551371798446
210,0.00041768714558275064,3.1357780718882885e-20,4.6804003110214636e-05,8.648353020937841e-05
211,0.0,0.0,0.0,1.4997040164267104e-11
212,8.297424340056284e-29,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0
229,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0
240,0.0,1.1862549071048284e-15,0.0,0.0
241,0.0,0.0,6.76549859848423e-10,0.0
242,1.375647291567816e-19,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0
244,0.0,0.0,8.412010254329664e-13,0.0
245,0.0,9.545705493311368e-18,0.0,0.0
246,0.0,0.0,1.8674048323540897e-06,0.0
247,0.0,1.1342948191311394e-10,0.0,9.354467569711997e-09
248,1.0208653372180256e-11,0.0005041067362340871,1.2855343691444908e-08,1.0385112357427004e-07
249,6.839712164079075e-05,0.0004336753836067884,0.000675671540925289,0.002429013667274571
250,5.263721783359303e-07,2.2984591335897344e-13,1.4270929319814244e-05,0.0015464502047012514
251,5.7669609417055014e-05,5.564946742356168e-09,0.0,0.000674728283223452
252,1.4998873038722718e-05,0.0,0.0,8.035296381010305e-09
253,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,7.95223089274398e-25
256,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
286,0.0,1.467359671790483e-25,0.0,0.0
287,0.0,5.61475218418338e-05,0.0,0.0
288,8.74049780859818e-12,0.0007635231567420394,2.8849756934243455e-05,1.646187666628596e-17
289,0.00016800399968028537,0.002975306191340471,0.00048724344172420447,4.058425183913873e-05
290,0.0004841071566567298,0.003602795631459104,0.00015299787180753777,0.00024655284893102284
291,0.0005853267622993788,0.00017206487575855924,0.00010542122925584691,0.004293012140491378
292,1.2897873678778882e-05,0.0,7.231766742909275e-10,0.0016540176920505848
293,5.733315830531876e-06,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,2.3152452407508937e-21
296,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
301,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0
327,0.0,1.587743768800362e-21,0.0,0.0
328,2.1754590084455553e-23,1.8285693748795928e-16,1.0387052304446429e-07,0.0
329,1.939947019424246e-12,8.971858441745929e-05,0.0002881834857058573,6.593242237981302e-12
330,1.6436849412592331e-09,0.0018096262004013404,9.036946526378909e-05,1.0897699126011291e-10
331,0.0003831428008184135,0.005086949297221842,0.00122413577713806,0.0011169434261979869
332,0.001254560792018375,0.0004923059409315787,0.00016540574362595458,0.005989993740742653
333,0.0022255031034968554,1.6207497599966556e-23,2.483832312886242e-14,8.229753151890934e-06
334,0.00013373999451508212,0.0,0.0,0.0
335,0.0,0.0,0.0,5.2990593153858556e-05
336,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,4.9334394542557955e-30
346,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
348,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0
358,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0
367,0.0,1.4038968139397824e-23,0.0,0.0
368,0.0,1.55988534882198e-22,1.3701978679558063e-21,0.0
369,0.0,3.6873266804204224e-09,0.0,0.0
370,0.0,0.00023226740019842115,0.0,0.0
371,2.091232436381419e-06,0.004123330226163933,7.390940575677033e-07,2.6311865179605938e-14
372,0.0014275156408555289,0.0010553000616714135,0.0012139134619876444,0.006912748795425265
373,2.5638171938118224e-05,3.2466587761031256e-06,0.00027761578125019983,0.004461831592698995
374,0.0,0.001828191344984197,2.0686423019340914e-06,0.0010934711159408617
375,0.00021473712360684096,3.991540486976271e-07,6.5418734798806975e-12,0.006533337485460928
376,8.088178510586973e-05,0.0,0.0,8.42939182766476e-09
377,0.0,0.0,0.0,0.0
378,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,3.46023794338846e-26
386,0.0,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0
408,0.0,0.0,1.4038968139397824e-23,0.0
409,0.0,0.0,0.0,2.3939139080080913e-19
410,2.956474713185754e-30,0.0,0.0,0.0
411,0.0,0.0018131227518587254,5.2180077585990524e-06,2.373059342440811e-08
412,0.00019741115086303825,0.007904461449126555,0.0020242693779084844,0.0020438660206651828
413,0.0024438716541397665,0.009004036709928217,0.0009038671396967937,0.0003515965396182609
414,0.003511890490625014,0.010235569665069269,0.0003673434890580377,0.001638559107296647
415,0.0041237912810864205,0.002520852481294295,0.0023896812334743105,0.011563758755778317
416,0.006197971497947528,0.0,1.250913843904614e-10,0.0010884370330541807
417,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,1.5610781626532234e-24
426,9.414662456279626e-27,0.0,0.0,0.0
427,0.0,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0
429,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
431,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,3.44140731787613e-18
433,0.0,0.0,0.0,9.95026231991379e-13
434,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0
439,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0
443,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0
449,0.0,9.58455562763871e-18,0.0,0.0
